id,name,care_level_ko,care_level,sido,sigungu,address,phone,homepage,has_homepage,hours_24h,weekday_hours,weekend_hours,departments,place_search_url,daum_map_url
nat_f2f7b3376a88,상상동물병원,일반 동네병원,neighborhood,서울특별시,양천구,"서울특별시 양천구 목동서로 295 (신정동, 우림필유)",02-2038-8877,https://blog.naver.com/sangsangah,Y,no,10:00–20:00,토 10:00–20:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%83%81%EC%83%81%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C,https://map.kakao.com/?q=%EC%83%81%EC%83%81%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_d9a2e6081919,웰니스동물병원,일반 동네병원,neighborhood,서울특별시,강서구,서울특별시 강서구 화곡로 398 (등촌동),02-3663-6575,,N,no,10:30–19:00,토 10:30–17:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%9B%B0%EB%8B%88%EC%8A%A4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C,https://map.kakao.com/?q=%EC%9B%B0%EB%8B%88%EC%8A%A4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_d2f6de5dd49c,성심동물병원,일반 동네병원,neighborhood,경기도,남양주시,경기도 남양주시 금곡로 23 (금곡동),031-591-1795,,N,unknown,,,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%84%B1%EC%8B%AC%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%84%B1%EC%8B%AC%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_eb793b18247f,쿨펫동물병원,일반 동네병원,neighborhood,경기도,하남시,경기도 하남시 덕풍서로 70 (덕풍동),031-792-2982,https://blog.naver.com/coolpet17,Y,no,10:00–20:00,,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%BF%A8%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_39a414267d5e,위드펫동물병원,일반 동네병원,neighborhood,서울특별시,강남구,서울특별시 강남구 논현로 18 (개포동),02-529-7577,https://blog.naver.com/withpetah,Y,no,10:00–19:00,토 10:00–18:30 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%9C%84%EB%93%9C%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C,https://map.kakao.com/?q=%EC%9C%84%EB%93%9C%ED%8E%AB%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_03b766c70005,헬로우동물병원 여의도점,일반 동네병원,neighborhood,서울특별시,영등포구,서울특별시 영등포구 국제금융로7길 22 (여의도동),02-784-7588,https://blog.naver.com/helloanimal_hospital,Y,no,,토 10:00–14:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%ED%97%AC%EB%A1%9C%EC%9A%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C,https://map.kakao.com/?q=%ED%97%AC%EB%A1%9C%EC%9A%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%97%AC%EC%9D%98%EB%8F%84%EC%A0%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_391dc7fbd097,애견동물병원,일반 동네병원,neighborhood,경기도,안산시,경기도 안산시 단원구 화랑로 47 (원곡동),,,N,unknown,,,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%95%A0%EA%B2%AC%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%95%A0%EA%B2%AC%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_c4db3b3de4f0,강남동물병원,일반 동네병원,neighborhood,경기도,고양시,경기도 고양시 일산동구 중앙로 1172 (마두동),0507-1330-7576,,N,unknown,,,일반진료|예방접종,https://search.naver.com/search.naver?query=%EA%B0%95%EB%82%A8%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EA%B0%95%EB%82%A8%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_0d7d8fbdfdae,시민동물병원,일반 동네병원,neighborhood,경기도,고양시,경기도 고양시 일산서구 대산로 126 (주엽동),031-911-7346,,N,no,09:30–18:30,토 09:30–15:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%8B%9C%EB%AF%BC%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%8B%9C%EB%AF%BC%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_048bfa7b5cd8,하나동물병원,일반 동네병원,neighborhood,경기도,이천시,경기도 이천시 중리천로 99-1 (창전동),031-637-2543,https://ok114.co.kr/0316372543,Y,unknown,,,일반진료|예방접종,https://search.naver.com/search.naver?query=%ED%95%98%EB%82%98%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%ED%95%98%EB%82%98%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
