id,name,care_level_ko,care_level,sido,sigungu,address,phone,homepage,has_homepage,hours_24h,weekday_hours,weekend_hours,departments,place_search_url,daum_map_url
nat_f33ba7bc04ae,119동물병원,일반 동네병원,neighborhood,대구광역시,달성군,대구광역시 달성군 다사읍 달구벌대로 893,053-585-1195,http://119animal.modoo.at/,Y,no,10:00–19:00,토 09:30–13:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=119%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C,https://map.kakao.com/?q=119%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C
nat_574c5fa559d8,21세기동물병원,일반 동네병원,neighborhood,서울특별시,영등포구,서울특별시 영등포구 가마산로 584 (신길동),02-749-6750,https://blog.naver.com/vetsj21,Y,no,09:00–19:00,토 09:00–19:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C,https://map.kakao.com/?q=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_4318e47cef7a,21세기동물병원,일반 동네병원,neighborhood,부산광역시,북구,"부산광역시 북구 만덕대로102번길 34 (덕천동, 현송빌라)",051-365-0075,,N,no,09:00–20:00,토 09:00–18:00,일반진료|예방접종,https://search.naver.com/search.naver?query=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%B6%81%EA%B5%AC,https://map.kakao.com/?q=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C
nat_64dbf788d0ee,21세기동물병원,일반 동네병원,neighborhood,전북특별자치도,전주시,전북특별자치도 전주시 덕진구 시천로 26 (송천동1가),063-251-1015,https://blog.naver.com/dvm28,Y,unknown,,,일반진료|예방접종,https://search.naver.com/search.naver?query=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90%20%EC%A0%84%EB%B6%81%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84,https://map.kakao.com/?q=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%A0%84%EB%B6%81%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84
nat_851f0e37bf22,21세기동물병원,일반 동네병원,neighborhood,경기도,화성시,경기도 화성시 동탄솔빛로 48 (반송동),0507-1302-3178,http://blog.naver.com/dvm28,Y,no,09:00–19:00,토 09:00–18:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_e95eadd54f82,21세기동물병원,일반 동네병원,neighborhood,전라남도,목포시,전라남도 목포시 영산로 503-2 (상동),061-279-0006,,N,unknown,,,일반진료|예방접종,https://search.naver.com/search.naver?query=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90%20%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84,https://map.kakao.com/?q=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%A0%84%EB%9D%BC%EB%82%A8%EB%8F%84
nat_ebee30d9b74c,21세기동물병원,일반 동네병원,neighborhood,대구광역시,동구,대구광역시 동구 아양로 216 (효목동),053-959-0182,,N,no,10:00–19:00,토 10:00–14:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8F%99%EA%B5%AC,https://map.kakao.com/?q=21%EC%84%B8%EA%B8%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8C%80%EA%B5%AC%EA%B4%91%EC%97%AD%EC%8B%9C
nat_f64c150d092e,24시 마음든든동물병원,일반 동네병원,neighborhood,경기도,안양시,경기도 안양시 만안구 경수대로 1234 (석수동),0507-1411-2475,https://blog.naver.com/maumamc24,Y,no,09:30–22:00,토 09:30–22:00 · 일 09:30–18:00,일반진료|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EB%A7%88%EC%9D%8C%EB%93%A0%EB%93%A0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=24%EC%8B%9C+%EB%A7%88%EC%9D%8C%EB%93%A0%EB%93%A0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_c00d628724b6,24시 소래동물병원,일반 동네병원,neighborhood,광주,광산구,광주 광산구 무진대로 278-11 한국아델리움앤중해마루힐,0507-1482-3227,http://soraeah.co.kr,Y,no,10:00–20:00,토 10:00–19:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EC%86%8C%EB%9E%98%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B4%91%EC%A3%BC,https://map.kakao.com/?q=24%EC%8B%9C+%EC%86%8C%EB%9E%98%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B4%91%EC%A3%BC
nat_57afc3ee1934,24시 언제나동물병원,일반 동네병원,neighborhood,광주광역시,북구,광주광역시 북구 하백로5번길 27 (매곡동),062-571-0011,http://alwaysamc.modoo.at/,Y,no,09:00–19:00,토 09:00–16:30 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EC%96%B8%EC%A0%9C%EB%82%98%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C+%EC%96%B8%EC%A0%9C%EB%82%98%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C
nat_e20b4297abf7,24시 예스 동물병원,일반 동네병원,neighborhood,서울특별시,서초구,서울특별시 서초구 잠원로 24 (반포동),02-534-3475,https://blog.naver.com/numberhana,Y,no,11:00–19:00,토 11:00–16:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C+%EC%98%88%EC%8A%A4+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C+%EC%98%88%EC%8A%A4+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_a35681ed876e,OK동물병원,일반 동네병원,neighborhood,서울특별시,강남구,서울특별시 강남구 도곡로51길 4 (역삼동),02-569-7582,https://blog.naver.com/24okamc,Y,no,09:00–20:00,토 09:00–20:00 · 일 09:00–20:00,일반진료|예방접종,https://search.naver.com/search.naver?query=OK%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C,https://map.kakao.com/?q=OK%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_b2c85c59fd5f,24시건국본동물병원,일반 동네병원,neighborhood,인천광역시,미추홀구,인천광역시 미추홀구 인하로 287 (주안동),0507-1376-0117,https://blog.naver.com/kvet95,Y,no,09:30–22:00,,일반진료|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C%EA%B1%B4%EA%B5%AD%EB%B3%B8%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%9D%B8%EC%B2%9C%EA%B4%91%EC%97%AD%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C%EA%B1%B4%EA%B5%AD%EB%B3%B8%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%9D%B8%EC%B2%9C%EA%B4%91%EC%97%AD%EC%8B%9C
nat_88485d0f839b,24시고방동물병원,일반 동네병원,neighborhood,경기도,이천시,경기도 이천시 부발읍 경충대로 2260,031-632-7582,https://blog.naver.com/wonil771,Y,no,09:00–19:00,토 09:00–19:00 · 일 09:00–12:00,일반진료|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C%EA%B3%A0%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=24%EC%8B%9C%EA%B3%A0%EB%B0%A9%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_595e3e59f414,24시독스동물병원,일반 동네병원,neighborhood,서울,영등포구,서울 영등포구 신길로 119 한화포레나,032-433-0075,https://dogsamc.com/,Y,no,09:00–22:00,,일반진료|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C%EB%8F%85%EC%8A%A4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8,https://map.kakao.com/?q=24%EC%8B%9C%EB%8F%85%EC%8A%A4%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8
nat_a3a682d9403a,24시동물병원,일반 동네병원,neighborhood,경기도,용인시,"경기도 용인시 기흥구 마북로247번길 3 (마북동, 용인 마북 신원아침도시 아파트)",064-702-2475,,N,no,09:00–19:00,,일반진료|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%9A%A9%EC%9D%B8%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_9149fae2a214,24시동물병원,일반 동네병원,neighborhood,경기도,용인시,경기도 용인시 기흥구 구갈로 53-1 (구갈동),031-281-7585,,N,no,09:00–22:00,토 09:00–20:00 · 일 10:00–18:00,일반진료|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%9A%A9%EC%9D%B8%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_b993ba5a1971,24시보듬동물병원,일반 동네병원,neighborhood,강원특별자치도,강릉시,강원특별자치도 강릉시 경강로 2070 (임당동),033-655-7975,https://blog.naver.com/bodeumah,Y,no,09:00–21:00,,일반진료|예방접종|24시,https://search.naver.com/search.naver?query=24%EC%8B%9C%EB%B3%B4%EB%93%AC%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B0%95%EC%9B%90%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84,https://map.kakao.com/?q=24%EC%8B%9C%EB%B3%B4%EB%93%AC%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B0%95%EC%9B%90%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84
nat_42086ba24ef0,24시블루밍동물병원,일반 동네병원,neighborhood,충청남도,아산시,충청남도 아산시 둔포면 아산밸리중앙로 50 (아산테크노밸리이지더원1단지아파트),062-416-7975,https://blog.naver.com/bloomingah,Y,no,08:00–24:00,,일반진료|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C%EB%B8%94%EB%A3%A8%EB%B0%8D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%B6%A9%EC%B2%AD%EB%82%A8%EB%8F%84,https://map.kakao.com/?q=24%EC%8B%9C%EB%B8%94%EB%A3%A8%EB%B0%8D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%B6%A9%EC%B2%AD%EB%82%A8%EB%8F%84
nat_b33076e2a1e0,24시청주i동물병원,일반 동네병원,neighborhood,충청북도,청주시,충청북도 청주시 청원구 충청대로 103 (율량동),0507-1407-9975,,N,no,09:00–22:00,,일반진료|예방접종,https://search.naver.com/search.naver?query=24%EC%8B%9C%EC%B2%AD%EC%A3%BCi%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%B2%AD%EC%A3%BC%EC%8B%9C,https://map.kakao.com/?q=24%EC%8B%9C%EC%B2%AD%EC%A3%BCi%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%B6%A9%EC%B2%AD%EB%B6%81%EB%8F%84
