id,name,care_level_ko,care_level,sido,sigungu,address,phone,homepage,has_homepage,hours_24h,weekday_hours,weekend_hours,departments,place_search_url,daum_map_url
nat_ae8fcdc8de22,안녕동물병원,일반 동네병원,neighborhood,경기도,수원시,"경기도 수원시 영통구 광교호수공원로 80 (원천동, 광교아이파크)",0507-1328-3103,https://blog.naver.com/annyeongah,Y,no,10:00–20:00,토 10:00–20:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%95%88%EB%85%95%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%95%88%EB%85%95%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_a05bd99cb5de,안동제1동물병원,일반 동네병원,neighborhood,대구,중구,대구 중구 달구벌대로450길 16-4 101호,054-852-7582,,N,no,10:00–19:00,토 10:30–17:30 · 일 10:30–17:30,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%95%88%EB%8F%99%EC%A0%9C1%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8C%80%EA%B5%AC,https://map.kakao.com/?q=%EC%95%88%EB%8F%99%EC%A0%9C1%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%8C%80%EA%B5%AC
nat_8b902a3baffd,안락동물병원,일반 동네병원,neighborhood,부산광역시,동래구,부산광역시 동래구 안연로98번길 4 (안락동),051-528-2227,,N,no,09:30–19:00,,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%95%88%EB%9D%BD%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C,https://map.kakao.com/?q=%EC%95%88%EB%9D%BD%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EB%B6%80%EC%82%B0%EA%B4%91%EC%97%AD%EC%8B%9C
nat_f418a3a9d2c2,안민동물병원,일반 동네병원,neighborhood,경기도,양주시,경기도 양주시 은현면 은현로 73-8,031-859-0087,,N,unknown,,,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%95%88%EB%AF%BC%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%95%88%EB%AF%BC%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_54250ff7f063,안박동물병원,일반 동네병원,neighborhood,서울특별시,강서구,서울특별시 강서구 양천로 510 (등촌동),02-3664-7511,,N,no,,토 10:00–18:00 · 일 휴무,일반진료|예방접종|24시,https://search.naver.com/search.naver?query=%EC%95%88%EB%B0%95%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C,https://map.kakao.com/?q=%EC%95%88%EB%B0%95%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_d2b8fe02b4d2,안산동물병원,일반 동네병원,neighborhood,경기도,안산시,경기도 안산시 단원구 화랑로 47 (원곡동),031-494-5164,,N,no,09:00–19:30,토 09:00–12:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%95%88%EC%82%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%95%88%EC%82%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_a2caf544dcdd,안상수동물병원,일반 동네병원,neighborhood,울산,동구,울산 동구 방어진순환도로 674 펫마트,0507-1342-1537,,N,no,09:30–19:00,토 09:30–17:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%95%88%EC%83%81%EC%88%98%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%9A%B8%EC%82%B0,https://map.kakao.com/?q=%EC%95%88%EC%83%81%EC%88%98%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%9A%B8%EC%82%B0
nat_475e53cb4ca0,안양동물병원,일반 동네병원,neighborhood,경기도,안양시,경기도 안양시 만안구 안양로 347 (안양동),031-466-0075,,N,no,09:00–21:00,토 09:00–19:00 · 일 10:00–19:00,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%95%88%EC%96%91%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%95%88%EC%96%91%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_0d282aca7f2e,안양비산동물병원,일반 동네병원,neighborhood,경기도,안양시,경기도 안양시 만안구 태평로52번길 37 (안양동),031-446-6575,http://www.bisanpet.com/,Y,unknown,,,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%95%88%EC%96%91%EB%B9%84%EC%82%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%95%88%EC%96%91%EB%B9%84%EC%82%B0%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_e0e8e9167589,안양펫 동물병원,일반 동네병원,neighborhood,경기도,안양시,경기도 안양시 동안구 경수대로 707 (호계동),031-385-7676,https://blog.naver.com/jammonge,Y,no,10:00–19:00,토 10:00–19:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%95%88%EC%96%91%ED%8E%AB+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%95%88%EC%96%91%ED%8E%AB+%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
nat_ed6886e734e2,안정택동물병원,일반 동네병원,neighborhood,서울특별시,구로구,서울특별시 구로구 천왕로 106 (천왕동),02-2060-7512,https://blog.naver.com/goldplaza201,Y,no,10:00–19:30,토 10:00–18:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%95%88%EC%A0%95%ED%83%9D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C,https://map.kakao.com/?q=%EC%95%88%EC%A0%95%ED%83%9D%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C
nat_7f68052327ad,안정현동물병원,일반 동네병원,neighborhood,경상북도,영주시,경상북도 영주시 지천로 197 (휴천동),054-631-8275,https://blog.naver.com/sum777c,Y,no,,토 09:10–14:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%95%88%EC%A0%95%ED%98%84%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84,https://map.kakao.com/?q=%EC%95%88%EC%A0%95%ED%98%84%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84
nat_69e61e8b22bb,안중동물병원,일반 동네병원,neighborhood,경기도,평택시,경기도 평택시 안중읍 안현로서9길 5,031-683-8764,,N,no,09:30–19:00,토 09:00–14:00 · 일 휴무,일반진료|예방접종,https://search.naver.com/search.naver?query=%EC%95%88%EC%A4%91%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84,https://map.kakao.com/?q=%EC%95%88%EC%A4%91%EB%8F%99%EB%AC%BC%EB%B3%91%EC%9B%90+%EA%B2%BD%EA%B8%B0%EB%8F%84
